participant_id,full_name,region,city_or_village,qualification_route,short_description,strengths,previous_dygyn_note,photo_url,source_id,source_url
boris_sdvizhkov,Борис Сдвижков,Амгинский улус / Амма,Амга,"Действующий чемпион 2025, путёвка заранее",Действующий чемпион Игр Дыгына; в 2026 готовится защищать титул против 15 конкурентов.,Стабильное многоборье; серебро чемпионата республики по национальному многоборью и чемпионата Якутии по мас-рестлингу в текущем сезоне.,Победитель Игр Дыгына 2025.,https://ysia.ru/wp-content/uploads/2025/06/WhatsApp-Image-2025-06-29-at-16.50.57-e1775608748176.jpeg,S2,https://ysia.ru/ih-budut-znat-vse-kto-stanet-uchastnikom-igr-dygyna-2026/
nikolay_matannanov,Николай Матаннанов,Таттинский улус,Таттинский улус,Победитель первого отбора в Якутске,Самый опытный участник состава 2026; двукратный чемпион Игр Манчаары.,"Опыт, стабильность, многолетняя конкуренция за первое место.","Вторые места на Играх Дыгына в 2018, 2021 и 2022 годах.",https://ysia.ru/wp-content/uploads/2025/06/IMG_9510.jpg,S2,https://ysia.ru/ih-budut-znat-vse-kto-stanet-uchastnikom-igr-dygyna-2026/
yakov_dmitriev,Яков Дмитриев,Кобяйский улус,Кобяйский улус,Квалифицировался ранее по сезону/отбору,Мастер спорта по национальным прыжкам; в 2026 стал чемпионом Якутии по многоборью.,Якутские прыжки; сильный общий уровень многоборья.,Ранее часто был в шаге от медалей на крупных стартах.,https://ysia.ru/wp-content/uploads/2025/06/WhatsApp-Image-2025-06-29-at-16.50.52-1-e1775608767949.jpeg,S2,https://ysia.ru/ih-budut-znat-vse-kto-stanet-uchastnikom-igr-dygyna-2026/
artem_dyakonov,Артём Дьяконов,Кобяйский улус,Кобяйский улус,Третье место в первом отборочном турнире,Один из представителей Кобяйского улуса; в 2025 был близок к победе.,"Опасный соперник в хапсагае, прибавил в физической мощи и весе.",2 место в общем зачёте Игр Дыгына 2025.,https://ysia.ru/wp-content/uploads/2025/06/079A8169.jpg,S2,https://ysia.ru/ih-budut-znat-vse-kto-stanet-uchastnikom-igr-dygyna-2026/
timofey_bolshakov,Тимофей Большаков,Сунтарский улус / Сунтар,Сунтар,Квалифицировался ранее по сезону/отбору,"Сунтарский многоборец, переживает один из лучших периодов в карьере.",Победы на крупных турнирах; в 2026 выиграл Кубок чемпиона.,Абсолютный чемпион Игр Манчаары 2025 по национальному многоборью.,https://ysia.ru/wp-content/uploads/2026/02/IMG_1500-e1775608787698.jpg,S2,https://ysia.ru/ih-budut-znat-vse-kto-stanet-uchastnikom-igr-dygyna-2026/
alexey_sozonov,Алексей Созонов,Среднеколымский улус,Среднеколымский улус,Квалифицировался ранее по сезону/отбору,"Среднеколымский атлет, перешедший из северного многоборья; мастер спорта.",Стабильность; 2 место на Кубке чемпиона 2026 среди 48 участников.,Пока не становился призёром Игр Дыгына.,https://ysia.ru/wp-content/uploads/2025/06/WhatsApp-Image-2024-06-29-at-19.31.20-e1775608803687.jpeg,S2,https://ysia.ru/ih-budut-znat-vse-kto-stanet-uchastnikom-igr-dygyna-2026/
alexey_sokolov,Алексей Соколов,Сунтарский улус / Сунтар,Сунтар,Путёвка через Кубок чемпиона,"Представитель Сунтарского улуса, воспитанник клуба «Боотур», спортсмен 2003 года рождения.",Коронный вид — тутум эргиир.,Бронзовый призёр Игр Дыгына 2025; в 2024 был предпоследним.,https://ysia.ru/wp-content/uploads/2025/06/IMG_9631.jpg,S2,https://ysia.ru/ih-budut-znat-vse-kto-stanet-uchastnikom-igr-dygyna-2026/
arian_myarin,Ариан Мярин,Томпонский улус / Томпо,Томпо,Победитель третьего отборочного турнира в Чурапче,"Дебютант Ус Хатына, сенсационно выиграл заключительный отборочный турнир 2026.","Базовый вид — мас-рестлинг; победитель международного турнира в Амге 2025, призёр чемпионатов Якутии и России.",Дебют на Играх Дыгына.,https://ysia.ru/wp-content/uploads/2026/04/vfv.jpg,S2,https://ysia.ru/ih-budut-znat-vse-kto-stanet-uchastnikom-igr-dygyna-2026/
vladimir_shologonov,Владимир Шологонов,Верхневилюйский улус / Верхневилюйск,Верхневилюйск,2 место в третьем отборочном турнире в Чурапче,В 2026 выйдет на Ус Хатын в четвёртый раз; добился путёвки с третьей попытки сезона.,Очень сильный бег на 400 м; на отборе в Чурапче был первым в беге и третьим в стрельбе из лука.,9 место в общем зачёте Игр Дыгына 2025.,https://ysia.ru/wp-content/uploads/2026/04/78.jpg,S2,https://ysia.ru/ih-budut-znat-vse-kto-stanet-uchastnikom-igr-dygyna-2026/
yuriy_kopyrin,Юрий Копырин,Чурапчинский улус / Усть-Алданский улус,Чурапча / Майагас,3 место в третьем отборочном турнире в Чурапче,"Одно из новых имён Игр Дыгына 2026; молодой участник, около 22 лет.","Базовый вид — вольная борьба; призёр первенства Дальнего Востока, хорошо выступает в хапсагае.",Дебют на Играх Дыгына.,https://ysia.ru/wp-content/uploads/2026/04/IMG_0055-1.jpg,S2,https://ysia.ru/ih-budut-znat-vse-kto-stanet-uchastnikom-igr-dygyna-2026/
ruslan_sleptsov,Руслан Слепцов,Мегино-Кангаласский улус,Мегино-Кангаласский улус,Путёвка №1 по рейтингу после трёх отборов,"19-летний многоборец, тренируется в клубе «Хатан» под руководством Дениса Заболоцкого.",Высокие скоростные качества; стабильно прошёл три отбора.,Бронзовый призёр Игр Манчаары среди мужчин до 70 кг.,https://ysia.ru/wp-content/uploads/2026/02/IMG_0785-e1775608840336.jpg,S2,https://ysia.ru/ih-budut-znat-vse-kto-stanet-uchastnikom-igr-dygyna-2026/
pavel_druzyanov,Павел Друзьянов,Чурапчинский улус / Чурапча,Чурапча,Путёвка по рейтингу после трёх отборов,Ветеран национального многоборья; в шестой раз выйдет на арену Ус Хатына.,"Опыт, три победы на турнире «Игры девяти холмов» в Чурапче.",Опытный участник Игр Дыгына.,https://ysia.ru/wp-content/uploads/2023/06/D25B9305.jpg,S2,https://ysia.ru/ih-budut-znat-vse-kto-stanet-uchastnikom-igr-dygyna-2026/
ilya_karamzin,Илья Карамзин,Усть-Алданский улус,Усть-Алданский улус,Путёвка по рейтингу после трёх отборов,"Символичный участник от Усть-Алданского улуса, праправнук легендарного силача Михаила Карамзина — Мас Мэхээлэ.",Высокоточная стрельба из лука; базовый вид — мас-рестлинг; тренируется у Ивана Белолюбского.,Дебют/возвращение представителя улуса после Дмитрия Попова и Никиты Новгородова.,https://ysia.ru/wp-content/uploads/2026/04/k.jpg,S2,https://ysia.ru/ih-budut-znat-vse-kto-stanet-uchastnikom-igr-dygyna-2026/
alexander_pshennikov,Александр Пшенников,Олёкминский район,Олёкминский район,Путёвка по рейтингу после трёх отборов,Олёкминский спортсмен; второе выступление на Играх Дыгына.,Базовый вид — мас-рестлинг; в Чурапче выиграл перетаскивание камня.,14 место в общем зачёте Игр Дыгына 2025.,https://ysia.ru/wp-content/uploads/2025/06/IMG_9469.jpg,S2,https://ysia.ru/ih-budut-znat-vse-kto-stanet-uchastnikom-igr-dygyna-2026/
aysen_semenov,Айсен Семёнов,Оленёкский улус / Оленёк,Оленёк,Путёвка по рейтингу после трёх отборов,В пятый раз попробует себя на Играх Дыгына; один из самых опасных в хапсагае.,"Хапсагай, стрельба из лука; неоднократный призёр чемпионата России по мас-рестлингу и Игр Манчаары.",Опытный участник Игр Дыгына.,https://ysia.ru/wp-content/uploads/2023/08/WhatsApp-Image-2023-06-24-at-22.49.43-e1775608878270.jpeg,S2,https://ysia.ru/ih-budut-znat-vse-kto-stanet-uchastnikom-igr-dygyna-2026/
ivan_stepanov,Иван Степанов,"Якутск, Хатассы",Хатассы,Последняя путёвка по рейтингу,"20-летний спортсмен, участвует во второй раз; один из молодых перспективных участников.",Победитель республиканского турнира Игры Бэргэна среди юношей до 18 лет.,15 место в общем зачёте Игр Дыгына 2025.,https://ysia.ru/wp-content/uploads/2025/06/IMG_9812.jpg,S2,https://ysia.ru/ih-budut-znat-vse-kto-stanet-uchastnikom-igr-dygyna-2026/
