year,participant,discipline_id,discipline_name,result_value,result_unit,place,points,overall_rank,overall_points,source_id,notes,source_url
2025,Борис Сдвижков,us_togul_us,Якутские прыжки 3х3,,метры,8,8,1,30,S5,Dygyn.com published discipline place/points; raw result not published in this table.,https://dygyn.com/posts/2025/
2025,Борис Сдвижков,tutum_ergiir,Якутская вертушка,,обороты,7,7,1,30,S5,Dygyn.com published discipline place/points; raw result not published in this table.,https://dygyn.com/posts/2025/
2025,Борис Сдвижков,mas_tardyhyy,Мас-рестлинг / перетягивание палки,,место / победы-поражения,1,1,1,30,S5,Dygyn.com published discipline place/points; raw result not published in this table.,https://dygyn.com/posts/2025/
2025,Борис Сдвижков,archery,Стрельба из традиционного лука,,очки,2,2,1,30,S5,Dygyn.com published discipline place/points; raw result not published in this table.,https://dygyn.com/posts/2025/
2025,Борис Сдвижков,run_400m,Бег 400 метров,,секунды,7,7,1,30,S5,Dygyn.com published discipline place/points; raw result not published in this table.,https://dygyn.com/posts/2025/
2025,Борис Сдвижков,khapsagay,Борьба хапсагай,,место / победы-поражения,4,4,1,30,S5,Dygyn.com published discipline place/points; raw result not published in this table.,https://dygyn.com/posts/2025/
2025,Борис Сдвижков,taas_kotoguu,Поднятие и переноска камня,,метры,1,1,1,30,S5,Dygyn.com published discipline place/points; raw result not published in this table.,https://dygyn.com/posts/2025/
2025,Артем Дьяконов,us_togul_us,Якутские прыжки 3х3,,метры,6,6,2,33,S5,Dygyn.com published discipline place/points; raw result not published in this table.,https://dygyn.com/posts/2025/
2025,Артем Дьяконов,tutum_ergiir,Якутская вертушка,,обороты,4,4,2,33,S5,Dygyn.com published discipline place/points; raw result not published in this table.,https://dygyn.com/posts/2025/
2025,Артем Дьяконов,mas_tardyhyy,Мас-рестлинг / перетягивание палки,,место / победы-поражения,10,10,2,33,S5,Dygyn.com published discipline place/points; raw result not published in this table.,https://dygyn.com/posts/2025/
2025,Артем Дьяконов,archery,Стрельба из традиционного лука,,очки,1,1,2,33,S5,Dygyn.com published discipline place/points; raw result not published in this table.,https://dygyn.com/posts/2025/
2025,Артем Дьяконов,run_400m,Бег 400 метров,,секунды,5,5,2,33,S5,Dygyn.com published discipline place/points; raw result not published in this table.,https://dygyn.com/posts/2025/
2025,Артем Дьяконов,khapsagay,Борьба хапсагай,,место / победы-поражения,2,2,2,33,S5,Dygyn.com published discipline place/points; raw result not published in this table.,https://dygyn.com/posts/2025/
2025,Артем Дьяконов,taas_kotoguu,Поднятие и переноска камня,,метры,5,5,2,33,S5,Dygyn.com published discipline place/points; raw result not published in this table.,https://dygyn.com/posts/2025/
2025,Алексей Соколов,us_togul_us,Якутские прыжки 3х3,,метры,5,5,3,40,S5,Dygyn.com published discipline place/points; raw result not published in this table.,https://dygyn.com/posts/2025/
2025,Алексей Соколов,tutum_ergiir,Якутская вертушка,67,обороты,1,1,3,40,S8,Raw result available from first-day media report; place/points from Dygyn.com.,https://yakutia.mk.ru/sport/2025/06/28/igry-dygyna-2025-stali-izvestny-lidery-pervogo-dnya-sostyazaniy.html
2025,Алексей Соколов,mas_tardyhyy,Мас-рестлинг / перетягивание палки,,место / победы-поражения,11,11,3,40,S5,Dygyn.com published discipline place/points; raw result not published in this table.,https://dygyn.com/posts/2025/
2025,Алексей Соколов,archery,Стрельба из традиционного лука,,очки,5,5,3,40,S5,Dygyn.com published discipline place/points; raw result not published in this table.,https://dygyn.com/posts/2025/
2025,Алексей Соколов,run_400m,Бег 400 метров,,секунды,1,1,3,40,S5,Dygyn.com published discipline place/points; raw result not published in this table.,https://dygyn.com/posts/2025/
2025,Алексей Соколов,khapsagay,Борьба хапсагай,,место / победы-поражения,11,11,3,40,S5,Dygyn.com published discipline place/points; raw result not published in this table.,https://dygyn.com/posts/2025/
