year,overall_rank,participant,us_togul_us_place,tutum_ergiir_place,mas_tardyhyy_place,archery_place,run_400m_place,khapsagay_place,taas_kotoguu_place,overall_points,final_rank,source_id,source_url
2025,1,Борис Сдвижков,8,7,1,2,7,4,1,30,1,S5,https://dygyn.com/posts/2025/
2025,2,Артем Дьяконов,6,4,10,1,5,2,5,33,2,S5,https://dygyn.com/posts/2025/
2025,3,Алексей Соколов,5,1,11,5,1,11,6,40,3,S5,https://dygyn.com/posts/2025/
2025,4,Яков Дмитриев,1,14,4,10,6,3,4,42,4,S5,https://dygyn.com/posts/2025/
2025,5,Тимофей Большаков,10,12,2,4,3,8,7,46,5,S5,https://dygyn.com/posts/2025/
2025,6,Алексей Уваровский,3,2,16,7,9,5,9,51,6,S5,https://dygyn.com/posts/2025/
2025,7,Вячеслав Дьяконов,7,3,6,16,10,1,10,53,7,S5,https://dygyn.com/posts/2025/
2025,8,Николай Матаннанов,14,8,3,8,16,6,3,58,8,S5,https://dygyn.com/posts/2025/
2025,9,Владимир Шологонов,13,9,9,11,4,9,8,63,9,S5,https://dygyn.com/posts/2025/
2025,10,Валентин Афанасьев,4,11,12,9,2,15,15,68,10,S5,https://dygyn.com/posts/2025/
2025,11,Айсен Ботуев,11,5,15,12,14,12,2,71,11,S5,https://dygyn.com/posts/2025/
2025,12,Алексей Созонов,12,6,13,3,11,13,13,71,12,S5,https://dygyn.com/posts/2025/
2025,13,Борис Строев,2,16,8,16,15,7,11,75,13,S5,https://dygyn.com/posts/2025/
2025,14,Александр Пшенников,9,10,5,13,12,16,12,77,14,S5,https://dygyn.com/posts/2025/
2025,15,Иван Степанов,15,13,7,16,8,10,14,83,15,S5,https://dygyn.com/posts/2025/
2025,16,Алексей Ефимов,16,15,14,6,13,14,16,94,16,S5,https://dygyn.com/posts/2025/
